id,title,notes,release_date_date,release_date_precision,created_at,updated_at,supertype,data_source,scene_org_id,thumbnail_url,standard_url,production_type,production_subtype,platform_name,uri
53,Tesla,,2000-07-20,d,2010-10-05T22:14:05.551636+00:00,2021-03-28T20:43:15.151620+00:00,production,,,https://media.demozoo.org/screens/t/39/af/f374.53.png,https://media.demozoo.org/screens/s/39/af/f374.53.png,Demo,Demo,Windows,https://demozoo.org/productions/53/
54,Wonders Never Cease,Uses BASS for sound output. Requires DirectX 5 or newer. Pure software rendering.,2000-07-01,d,2010-10-05T22:14:05.551636+00:00,2018-02-14T19:08:24.096592+00:00,production,,,https://media.demozoo.org/screens/t/f0/af/2e04.54.png,https://media.demozoo.org/screens/s/f0/af/2e04.54.png,Demo,Demo,Windows,https://demozoo.org/productions/54/
55,Christmas Chips,Released outside any party.,1999-12-18,d,2010-10-05T22:14:05.551636+00:00,2019-02-06T10:28:18.077663+00:00,production,,,https://media.demozoo.org/screens/t/9e/6d/395b.55.png,https://media.demozoo.org/screens/s/9e/6d/395b.55.png,Musicdisk,Musicdisk,Windows,https://demozoo.org/productions/55/
56,Cracktro,Uses MINFMOD for sound output.,2000-06-26,d,2010-10-05T22:14:05.551636+00:00,2018-01-06T18:33:51.506714+00:00,production,,,https://media.demozoo.org/screens/t/aa/d1/d4aa.56.png,https://media.demozoo.org/screens/s/aa/d1/d4aa.56.png,Intro,Intro,Windows,https://demozoo.org/productions/56/
57,Dope,,1995-04-15,d,2010-10-05T22:14:05.551636+00:00,2019-08-17T16:49:36.715124+00:00,production,,,https://media.demozoo.org/screens/t/3b/89/b729.57.png,https://media.demozoo.org/screens/s/3b/89/b729.57.png,Demo,Demo,MS-Dos,https://demozoo.org/productions/57/
58,Bubbles In My Beer,,1999-12-05,d,2010-10-05T22:14:05.551636+00:00,2018-10-17T20:50:54.300456+00:00,production,,,https://media.demozoo.org/screens/t/81/62/a10d.58.png,https://media.demozoo.org/screens/s/81/62/a10d.58.png,Intro,Intro,Windows,https://demozoo.org/productions/58/
59,Year 2k-1,,1999-01-01,d,2010-10-05T22:14:05.551636+00:00,2016-06-20T20:24:35.982992+00:00,production,,,https://media.demozoo.org/screens/t/11/bf/5aaa.59.png,https://media.demozoo.org/screens/s/11/bf/5aaa.59.png,Intro,4K Intro,MS-Dos,https://demozoo.org/productions/59/
60,Rupture,,2009-04-11,d,2010-10-05T22:14:05.551636+00:00,2014-02-03T13:26:29.770366+00:00,production,,,https://media.demozoo.org/screens/t/32/8d/dad4.60.png,https://media.demozoo.org/screens/s/32/8d/dad4.60.png,Demo,Demo,Windows,https://demozoo.org/productions/60/
61,Only One Wish,,2008-07-02,d,2010-10-05T22:14:05.551636+00:00,2019-08-21T08:45:10.147851+00:00,production,,,https://media.demozoo.org/screens/t/0d/f9/f904.61.png,https://media.demozoo.org/screens/s/0d/f9/f904.61.png,Demo,Demo,Windows,https://demozoo.org/productions/61/
62,303,Voted #5 most popular demo and #2 most popular Dutch demo in [Fleur 3](https://demozoo.org/productions/104398/) (may 1999).,1997-04-05,d,2010-10-05T22:14:05.551636+00:00,2019-07-13T13:21:24.908383+00:00,production,,,https://media.demozoo.org/screens/t/ce/db/7273.62.png,https://media.demozoo.org/screens/s/ce/db/7273.62.png,Demo,Demo,Windows,https://demozoo.org/productions/62/
63,Nothing New,,1999-08-28,d,2010-10-05T22:14:05.551636+00:00,2020-09-05T12:56:03.318545+00:00,production,,,https://media.demozoo.org/screens/t/df/34/6bba.63.png,https://media.demozoo.org/screens/s/df/34/6bba.63.png,Demo,Demo,MS-Dos,https://demozoo.org/productions/63/
64,Nightfall,Requires DirectX 6 or later.,1999-08-28,d,2010-10-05T22:14:05.551636+00:00,2012-10-25T19:33:49.938931+00:00,production,,,https://media.demozoo.org/screens/t/c0/8c/0ea7.64.png,https://media.demozoo.org/screens/s/c0/8c/0ea7.64.png,Demo,Demo,Windows,https://demozoo.org/productions/64/
65,This is,"Danube was the only person working on the demo who was not a full member, dubbed a ""guest star"" in the nfo.

Goof: 16:9/10 resolutions will break the fake letter-boxing that is only working in 4:3.",2000-06-17,d,2010-10-05T22:14:05.551636+00:00,2019-07-13T10:33:09.169502+00:00,production,,,https://media.demozoo.org/screens/t/14/77/2650.65.png,https://media.demozoo.org/screens/s/14/77/2650.65.png,Demo,Demo,Windows,https://demozoo.org/productions/65/
66,Shad 2,Requires DirectX 6 or later. Was controversial over using copyrighted music by Coptic Rain.,1999-04-17,d,2010-10-05T22:14:05.551636+00:00,2017-05-04T10:03:05.242621+00:00,production,,,https://media.demozoo.org/screens/t/6b/22/a461.66.png,https://media.demozoo.org/screens/s/6b/22/a461.66.png,Demo,Demo,Windows,https://demozoo.org/productions/66/
67,Together,Tested and working under Windows 7 (32bit).,2000-07-21,d,2010-10-05T22:14:05.551636+00:00,2018-03-30T20:05:35.223882+00:00,production,,,https://media.demozoo.org/screens/t/d6/47/8ad4.67.png,https://media.demozoo.org/screens/s/d6/47/8ad4.67.png,Intro,64K Intro,Windows,https://demozoo.org/productions/67/
68,74293945,"~250 KByte ""dentro"".",2000-07-01,m,2010-10-05T22:14:05.551636+00:00,2016-03-08T19:29:58.205608+00:00,production,,,https://media.demozoo.org/screens/t/6a/db/22c1.68.png,https://media.demozoo.org/screens/s/6a/db/22c1.68.png,Demo,Demo,Windows,https://demozoo.org/productions/68/
69,Happiness Is Around The Bend,,2010-08-07,d,2010-10-05T22:14:05.551636+00:00,2019-10-17T07:37:48.771831+00:00,production,,,https://media.demozoo.org/screens/t/66/25/d9e7.69.png,https://media.demozoo.org/screens/s/66/25/d9e7.69.png,Demo,Demo,Windows,https://demozoo.org/productions/69/
70,Ceasefire (All Falls Down...),,2010-08-07,d,2010-10-05T22:14:05.551636+00:00,2016-03-08T20:29:27.036194+00:00,production,,,https://media.demozoo.org/screens/t/91/42/0542.70.png,https://media.demozoo.org/screens/s/91/42/0542.70.png,Demo,Demo,Windows,https://demozoo.org/productions/70/
71,Devolution,"The original release version is NVidia-only, the ""ATI fix"" is more compatible and works on Intel chips as well.",2010-08-08,d,2010-10-05T22:14:05.551636+00:00,2017-05-14T06:36:32.318923+00:00,production,,,https://media.demozoo.org/screens/t/32/6e/b0ba.71.png,https://media.demozoo.org/screens/s/32/6e/b0ba.71.png,Demo,Demo,Windows,https://demozoo.org/productions/71/
72,Freon,"Requires DirectX 9 or later, and at least shader model 3.0.",2010-08-08,d,2010-10-05T22:14:05.551636+00:00,2014-08-03T18:17:21.105331+00:00,production,,,https://media.demozoo.org/screens/t/ab/5a/f381.72.png,https://media.demozoo.org/screens/s/ab/5a/f381.72.png,Demo,Demo,Windows,https://demozoo.org/productions/72/
73,X Marks The Spot,Requires Shader Model 3.0.,2010-08-07,d,2010-10-05T22:14:05.551636+00:00,2017-03-25T17:29:37.738161+00:00,production,,,https://media.demozoo.org/screens/t/fe/b8/f9ba.73.png,https://media.demozoo.org/screens/s/fe/b8/f9ba.73.png,Intro,64K Intro,Windows,https://demozoo.org/productions/73/
